id,victim,published_date,region,industry,threat_actor,sites,cost,ot_or_physical_consecuences,incident_summary,references,published_year,waterfall_report_year,waterfall_report_name
0,Stuxnet,2010-07-15,Iran,Process Mfg.,Nation State,1,,Destroyed 1000 centrifuges at Natanz,Plant was infected by the Stuxnet worm in a targeted attack designed to disrupt Iran's nuclear enrichment program,"[""en.wikipedia.org/wiki/Stuxnet""]",2010,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
3,Iran's main oil export terminals,2012-04-22,Iran,Oil & Gas,Nation State,6,,Shutdown 6 terminals,"6 terminals ops. affected by Flame malware. News outlets confirm outage, despite Iran downplaying the attack's effects","[""bbc.com/news/world-middle-east-59062907"",""iranprimer.usip.org/blog/2021/nov/02/israel-iran-cyber-war-gas-station-attack""]",2012,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
7,Unknown Power Plant,2012-10-?,USA,Power,Unknown,1,,Delayed turbine restart (thus power generation) by 3 weeks,"10 plant PCs were infected by Mariposa malware variant, transmitted through a USB stick. Occurred during scheduled shutdown for maintenance","[""us-cert.gov/sites/default/files/Monitors/ICS-CERT_Monitor_Oct-Dec2012.pdf""]",2012,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
12,German steel mill,2014-12-22,Germany,Metals & Mining,Unknown,1,,"Caused ""massive damage"" to plant equipment","Sophisticated attack using spear phishing and ICS knowledge to disable the control system, causing an uncontrolled shutdown of the blast furnace","[""bbc.com/news/technology-30575104""]",2014,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
15,"Prykarpattyaoblenergo, Chernivtsioblenergo, Kyivoblenergo",2015-12-13,Ukraine,Power,Nation State,32,,Power outage lasts up to 6 hours affecting 230K people,First publicly known attack on a power grid occurs when threat actor Sandworm deploys BlackEnergy 3 malware into the utility's network,"[""en.wikipedia.org/wiki/2015_Ukraine_power_grid_hack"",""arstechnica.com/information-technology/2016/01/first-known-hacker-caused-power-outage-signals-troubling-escalation""]",2015,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
21,"Pivnichna substation, Kyiv",2016-12-17,Ukraine,Power,Nation State,1,,Power outage for 20% of Kyiv for over 1 hour,"Sandworm suspected in deploying Industroyer (also: CrashOverride) malware, by exploiting a vulnerability in Siemens SIPROTEC relays","[""en.wikipedia.org/wiki/2016_Kyiv_cyberattack"",""arstechnica.com/information-technology/2017/06/crash-override-malware-may-sabotage-electric-grids-but-its-no-stuxnet""]",2016,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
27,Renault-Nissan,2017-05-12,"France, Slovenia, Romania, India",Discrete Mfg.,Ransomware,5,,"Shutdown plants in Douai, Sandouville, Slovenia, Pitesti, and Chennai for 1 day","WannaCry ransomware, spread by the ExternalBlue exploit, hit 5 plants for 1 day","[""industrialcybersecuritypulse.com/facilities/throwback-attack-wannacry-ransomware-takes-renault-nissan-plants-offline""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
33,AP Moller-Maersk / Gateway Terminals India (GTI),2017-06-27,India,Transportation,Ransomware,1,,Shutdown operations at the JNPT GTI Terminal,"JNPT's GTI container terminal depends on Maersk's systems located in the Hague, which fell victim to a Petya ransomware attack","[""timesofindia.indiatimes.com/india/indias-largest-container-port-jnpt-hit-by-ransomware/articleshow/59346704.cms""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
39,Countless,2017-06-27,Global,All,Nation State,1,$10B,"Outages throughout many industries: one incident, countless victims","NotPetya malware, created by Russian actors targeting Ukraine, spreads indiscriminately through networks using the EternalBlue exploit, permanently encrypting data","[""wired.com/story/notpetya-cyberattack-ukraine-russia-code-crashed-the-world""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
43,Unknown Petrochemical Plant,2017-08-?,Saudi Arabia,Oil & Gas,Nation State,1,,"Shutdown one plant, twice","Triton malware employed to infect and reprogram Triconex safety systems. This triggered an automatic shutdown, alerting operations. Occurred twice","[""theguardian.com/technology/2017/dec/15/triton-hackers-malware-attack-safety-systems-energy-plant""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
48,AW North Carolina,2017-08-16,USA,Discrete Mfg.,Ransomware,1,$1M,"Shutdown ops. for 4 hours, and caused a ripple delay effect in the auto supply chain","Just-in-time transmission component supplier to Toyota, Honda and others is hit by ransomware that slipped through firewall and AV software defenses","[""industrialcybersecuritypulse.com/threats-vulnerabilities/throwback-attack-aw-north-carolina-attack-shows-dangers-of-"",""apnews.com/article/nc-state-wire-north-america-us-news-ap-top-news-north-carolina-e316bd63f21a4fd181b3fb4a8dd7a5ba""]",2017,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
54,Taiwan Semiconductor Manufacturing Co (TSMC),2018-08-03,Taiwan,Discrete Mfg.,Ransomware,3,$255M,"Shutdown operations at Tainan, Hsinchu, and Taichung; Lost 3% in quarterly revenue","WannaCry ransomware caused the outage. Supplier installed software on some machines accidentally infected with the malware, without running AV","[""itpro.com/security/31629/tsmc-cyber-attack-was-apparently-caused-by-wannacry""]",2018,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
58,Unknown gas pipeline,2019-?-?,USA,Oil & Gas,Ransomware,1,,Shutdown pipeline for 2 days,"Attackers used spear phishing to gain initial access to the IT network, then pivoted into the OT network due to poor segmentation. Then, they planted ransomware","[""securityweek.com/operations-us-natural-gas-facilities-disrupted-ransomware-attack""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
62,Norsk Hydro,2019-03-18,Norway,Metals & Mining,Ransomware,170,$71M,Halted production at 170 sheet aluminum plants,"Infected by the LockerGoga ransomware, initially spread at Norsky Hydro through phishing emails on the IT network","[""news.microsoft.com/source/features/digital-transformation/hackers-hit-norsk-hydro-ransomware-company-responded-transparency""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
68,City Power Johannesburg,2019-07-26,South Africa,Power,Ransomware,1,,Power outage for 250k customers and delayed restoration,"Ransomware encrypts the IT system, preventing customers on pre-paid plans from purchasing electricity, and hampering line crews’ efforts to restore localized blackouts","[""twitter.com/CityPowerJhb/status/1154277777950093313"",""bbc.com/news/technology-49125853""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
72,Pilz,2019-10-13,Germany,Discrete Mfg.,Ransomware,1,,"Shutdown systems, reverted to manual ops., and slowed production for 1 week","Slowdown due to impaired order tracking, due to BitPaymer ransomware attack","[""drivesncontrols.com/news/fullstory.php/aid/6191/Pilz_is_recovering_from_a__91major_92_ransomware_attack.html""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
77,RavnAir Alaska,2019-12-20,USA,Transportation,Ransomware,1,,Canceled Dash-8-100 flights for 24 hours,"Canceled Dash-8 flights because a cyber attack caused outage of the Dash-8 maintenance system and its backup, which is required for flight","[""theregister.com/2020/01/02/ravnair_ransomware_dhc_dash_8""]",2019,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
80,Picanol,2020-01-13,"Belgium, Romania, China",Discrete Mfg.,Ransomware,3,€1M,"Shutdown manufacturing plants for 1 weeks, and sent workers home","Picanol is a manufacturer of weaving machines, and their manufacturing plants are heavily automated. Financial impact amounts paid for external experts","[""picanolgroup.com/en/investors/press-releases/press-release-cyber-attack-update-january-31-2020""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
85,Toll Group,2020-01-31,Australia,Transportation,Ransomware,1,,Shutdown systems and reverted to manual ops.,"Australian-based global logistics company suffered a targeted ransomware attack, and shutdown automation in an abundance of caution","[""zdnet.com/article/deliveries-stranded-across-australia-as-toll-confirms-ransomware-attack"",""zdnet.com/article/toll-group-shuts-down-it-systems-in-response-to-cybersecurity-incident""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
90,Miltenyi Biotech,2020-02-02,Germany,Discrete Mfg.,Ransomware,28,,Impaired global order processing for 2 weeks,Mount Locker ransomware impacted manufacturer and distributor of biotechnology & COVID-19 products. 150 GB data was exfiltrated and 1GB leaked publicly,"[""bleepingcomputer.com/news/security/biotech-research-firm-miltenyi-biotec-hit-by-ransomware-data-leaked""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
96,KHS Bicycles,2020-02-24,USA,Discrete Mfg.,Ransomware,1,,Delayed shipments for 2 days,Could not process B2B orders and ship bikes following a ransomware attack over the weekend,"[""bicycleretailer.com/industry-news/2020/02/25/khs-bicycles-systems-hacked-distributor-halts-shipments#.YG3-wC1h3ox""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
103,EVRAZ manufacturing,2020-03-04,USA & Canada,Discrete Mfg.,Ransomware,2,,"Shutdown operations at several plants, and sent 900+ workers home for 3+ days","After an attack on IT systems, production was halted at least two sites in Canada. IT systems depend on OT and ""necessary to ensure standards and traceability""","[""cbc.ca/news/canada/saskatchewan/evraz-regina-shut-down-ransomware-attack-1.5487017"",""globalnews.ca/news/6640313/evraz-regina-cyberattack-layoffs""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
108,Shahid Rajaee port,2020-05-09,Iran,Transportation,Nation State,1,,"Halted port terminal, abruptly and inexplicably","Sophisticated attack by Israel and retaliation for Iran's attacks on Israeli water systems in April, which were caught and defeated in real-time","[""timesofisrael.com/6-facilities-said-hit-in-irans-cyberattack-on-israels-water-system-in-april"",""timesofisrael.com/cyber-attacks-again-hit-israels-water-system-shutting-agricultural-pumps""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
113,Fisher & Paykel Appliances,2020-06-04,New Zealand,Discrete Mfg.,Ransomware,1,,Shutdown appliance manufacturing and distribution ops.,Victim of the Netfilim ransomware group. They refused to pay and suffered a large data leak,"[""stuff.co.nz/business/121849569/appliance-repairer-in-the-dark-after-ransomware-attack-on-fp-appliances""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
118,Honda,2020-06-09,"Japan, Turkey, UK, USA",Discrete Mfg.,Ransomware,4,,Shutdown global plant manufacturing ops. for 4 days and delayed vehicle shipments,"Victim of EKANS (""Snake"") ransomware that spread to at least 4 plants. The malware spread from IT servers to the control network suggesting poor network segmentation","[""icsstrive.com/incident/honda-manufacturing-attack"",""telegraph.co.uk/technology/2020/06/09/hondas-global-factories-brought-standstill-cyber-attack""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
122,Lion,2020-06-09,Australia,Food & Beverage,Ransomware,45,,Shutdown brewery operations for 2+ weeks,"Hit by two separate REvil ransomware attacks weeks apart, during the early months of the Covid-19 pandemic","[""zdnet.com/article/lion-warns-of-beer-shortages-following-ransomware-attack"",""smh.com.au/technology/cyber-crisis-deepens-at-lion-as-second-attack-bites-beer-giant-20200618-p5540c.html""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
126,X-FAB,2020-07-05,"Germany, France, Malaysia, USA",Discrete Mfg.,Ransomware,6,,"Shutdown all plants: down 2 weeks at 5 sites, and 1 week for another",X-FAB is a leading MEMS analog/mixed-signal chip fab and fell victim to a Maze ransomware attack,"[""businesswire.com/news/home/20200705005045/en/X-FAB-Affected-by-Cyber-Attack""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
130,Tower Semiconductor,2020-09-06,Israel,Discrete Mfg.,Ransomware,2,,"Shutdown ""several"" plants","Tower Semi manufactures integrated circuits, and has 2 plants in Israel, 2 in the USA, and 3 in Japan. Further details were not made public","[""cisomag.com/tower-semiconductor-cyberattack""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
133,Bluescope Steel,2020-09-15,Australia,Discrete Mfg.,Ransomware,2,,"Shutdown production, and reverted to manual operations for some processes","Ransomware infection was first detected in their USA- based subsidiary, but the attack eventually impacted global production ops.","[""abc.net.au/news/2020-05-15/bluescope-steel-cyber-attack-shut-down-kembla-ransomware/12251316""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
138,IPG Photonics,2020-10-17,USA,Discrete Mfg.,Ransomware,2,,Shutdown global parts manufacturing and shipping,"The Oxford, MA based industrial, medical, and military laser manufacturer was hit by RansomExx malware","[""icsstrive.com/editorials/ransomware-hits-ma-laser-maker"",""bleepingcomputer.com/news/security/leading-us-laser-developer-ipg-photonics-hit-with-ransomware/""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
143,Société de transport de Montréal (STM),2020-10-19,Canada,Transportation,Ransomware,1,$2M,"Shutdown on-call, door to door, paratransit services for nearly a week","Montreal's transit service was hit by RansomExx ransomware, and they refused to pay the $2.8 mil demanded","[""cbc.ca/news/canada/montreal/stm-refused-to-pay-2-8-million-ransomware-attack-1.5782838"",""stm.info/en/press/news/2020/the-stm-completes-cyber-attack-investigation""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
148,Steelcase,2020-10-22,USA,Discrete Mfg.,Ransomware,1,$60M,Shutdown all plants for 2 weeks; delayed $60m in shipments to the 4th quarter,"Office furniture maker the victim of a Ryuk ransomware attack that shutdown global order management, manufacturing, and distribution systems","[""bleepingcomputer.com/news/security/steelcase-furniture-giant-hit-by-ryuk-ransomware-attack"",""mibiz.com/sections/manufacturing/cyberattack-delays-60-million-in-shipments-for-steelcase-as-pandemic-continues-to-batter-office-furniture-orders""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
155,Dr Reddy's Laboratories,2020-10-22,"India, UK, Brazil, Russia, USA",Discrete Mfg.,Ransomware,5,,Shutdown production at 5 plants and stocks fell 3%,"A week after agreeing to produce the Sputnik V Covid-19 vaccine for final trials, Dr Reddy's was subject to a ransomware attack","[""businessinsider.in/india/news/dr-reddys-shares-fell-over-3-the-drug-maker-isolated-all-data-service-centers-after-a-cyber-attack/articleshow/78806238.cms"",""thehindu.com/business/Industry/oct-22-data-breach-involved-a-ransomware-attack-dr-reddys/article32962438.ece""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
163,Stelco,2020-10-25,Canada,Discrete Mfg.,Unknown,1,,"Shutdown steel production, temporarily",The company has reported the incident to law enforcement and did not give further details.,"[""insurancebusinessmag.com/ca/news/cyber/stelco-reveals-information-systems-were-subjected-to-a-criminal-attack-237287.aspx""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
169,Symrise,2020-12-13,Germany,Discrete Mfg.,Ransomware,1,,Shutdown production out of abundance of caution,The flavor and fragrance manufacturer was hit by a Cl0p ransomware attack,"[""bleepingcomputer.com/news/security/flavors-designer-symrise-halts-production-after-clop-ransomware-attack"",""handelsblatt.com/unternehmen/industrie/mdax-konzern-hacker-legen-symrise-lahm-warum-der-fall-besonders-schwerwiegend-ist/26718680.html""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
176,Forward Air,2020-12-15,USA,Transportation,Ransomware,1,,Shutdown operations and delayed shipments for a week,Hades ransomware gang attack impacted both IT and OT systems leading to delivery delays which may impact financial results,"[""freightwaves.com/news/news-alert-forward-air-reveals-ransomware-attack-warns-of-revenue-hit"",""freightwaves.com/news/news-alert-forward-airs-systems-coming-back-online""]",2020,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
181,Westrock,2021-01-23,USA,Discrete Mfg.,Ransomware,1,,"Forced manual ops, reduced production by 85K tons, and delayed shipments","After the packaging manufacturer was hit by ransomware, they shutdown systems in an abundance of caution, which impacted production and shipment volumes","[""ir.westrock.com/press-releases/press-release-details/2021/WestRock-Provides-Update-on-Ransomware-Incident-8dfde2fca/default.aspx""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
187,Palfinger AG,2021-01-26,"Europe, N. & S. America, Asia",Discrete Mfg.,Ransomware,31,,Lost nearly 2 weeks crane production at all plants,The world's largest crane manufacturer. All global plants were affected.,"[""bitdefender.com.au/blog/hotforsecurity/worlds-largest-crane-maker-""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
190,Molson Coors,2021-03-11,"USA, Canada, UK",Food & Beverage,Ransomware,13,$120M,"Disrupted brewery production and shipments, delaying 120-$140m in earnings",Took all systems offline to contain the spread. By end of the month was still dealing with delays and disruptions,"[""bleepingcomputer.com/news/security/molson-coors-brewing-operations-disrupted-by-cyberattack"",""securityweek.com/molson-coors-cyberattack-storms-could-cost-company-140-million""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
195,Sierra Wireless,2021-03-20,Canada,Discrete Mfg.,Ransomware,1,,Halted production at all manufacturing sites,"IoT, cellular, and wireless device manufacturer with an unknown number of manufacturing sites","[""isssource.com/sierra-wireless-hit-by-ransomware-attack""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
198,Asteelflash Group SA,2021-03-25,France,Discrete Mfg.,Ransomware,20,,Shutdown multiple printed circuit board plants,A leading Electronics Manufacturing Services (EMS) company suffered a REvil ransomware attack,"[""icsstrive.com/incident/revil-ransomware-shut-down-multiple-plants-at-asteelflash""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
202,JBI Bike,2021-04-01,USA,Transportation,Ransomware,11,,Delayed shipments for 7+ days,"A wholesale bicycle and parts distributor, with 11 warehouses, where only some were back up a week after the attack","[""bicycleretailer.com/industry-news/2021/04/07/jbi-back-online-limited-capacity-after-ransomware-attack#.ZBip3PbMKdY""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
209,Bakkier Logistiek,2021-04-04,Netherlands,Transportation,Ransomware,1,,"Disrupted new orders, delayed shipments to retail outlets for 5 days",Caused shortages of packaged cheese at retail,"[""icsstrive.com/incident/ransomware-attack-at-bakker-logistiek-caused-cheese-shortage-in-dutch-supermarkets""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
214,Colonial Pipeline,2021-05-07,USA,Oil & Gas,Ransomware,1,$4.4M,Shutdown pipeline for 6 days and paid a $4.4M ransom,"DarkSide ransomware behind attack on the largest gasoline pipeline in USA, triggering widespread gasoline shortages in US Northeast","[""icsstrive.com/incident/colonial-pipeline-ops-shut-down-after-ransomware-attack""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
218,Ardagh Group,2021-05-20,UK,Process Mfg.,Ransomware,1,$34M,Slowed production and delayed shipments,"Metal and glass beverage packaging facilities remained operational, but some processes reverted to manual operation causing shipment delays","[""isssource.com/eu-packaging-maker-hit-by-cyberattack""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
221,JBS SA,2021-05-30,"Australia, Canada, USA",Food & Beverage,Ransomware,5,,Several large meatpacking plants shut down and sent workers home,"Plants in Nebraska, Colorado, Texas, Brooks, and Australia canceled production shifts","[""cbc.ca/news/business/jbs-meat-cyberattack-1.6048942""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
224,Iran Rails,2021-07-09,Iran,Transportation,Hacktivist,1,,Impaired service by reprogramming signs and wiping computers,"Targeted by the Predatory Sparrow group, infected with wiper malware, and reprogrammed rail signage causing “unprecedented chaos”","[""nytimes.com/2021/08/14/world/middleeast/iran-trains-cyberattack.html"",""theguardian.com/world/2021/jul/11/cyber-attack-hits-irans-transport-ministry-and-railways""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
229,Transnet,2021-07-22,South Africa,Transportation,Ransomware,4,,Declared Force Majeure and halted operations for 7 days,"Transnet said ports at Durban, Ngqura, Port Elizabeth and Cape Town were affected","[""reuters.com/article/us-transnet-cyber-idUSKBN2EZ0RQ""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
232,New Cooperative,2021-09-17,USA,Agriculture,Ransomware,1,,"Delayed grain receipts & shipments, & shutdown fertigation optimization system",BlackMatter ransomware attack impacted grain transactions during harvest season. Systems were pre-emptively shutdown to stop the spread,"[""icsstrive.com/incident/ia-ag-cooperative-hit-in-ransomware-attack""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
235,Crystal Valley Cooperative,2021-09-19,USA,Agriculture,Ransomware,1,,Shutdown for 4 days and reverted to manual ops.,"During harvest season were unable to mix fertilizer, fulfil livestock feed orders, and switched to manual ops for receiving grain by issuing paper receipts","[""icsstrive.com/incident/ransomware-attack-forces-agricultural-grain-firm-in-minnesota-to-take-systems-offline""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
240,Weir Group,2021-09-21,UK,Discrete Mfg.,Ransomware,1,£20M,"Disrupted manufacturing, engineering, and shipping","When the attack was detected, ""systems promptly responded by shutting down core operations."" Loss projected at £20-30m","[""icsstrive.com/incident/weir-group-ransomware-incident""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
243,Ferrara,2021-10-09,USA,Food & Beverage,Ransomware,2,,Shutdown operations and delayed shipments for more than two weeks,"Candymaker suffered production shutdowns prior to Halloween, but had only resumed production in ""select facilities"" two weeks later","[""cyberscoop.com/candy-corn-hack-halloween"",""manufacturing.net/home/news/13165782/ferrero-to-acquire-ferrara-candy-company""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
247,Schreiber Foods,2021-10-22,"USA, Europe, S. America",Food & Beverage,Ransomware,30,,"Shutdown production and delivery for 5 days, and disrupted dairy supply chain","Large cheese and yogurt manufacturer could not receive, produce, or ship dairy product due to an attack on their plants and distribution centers","[""cyberscoop.com/schreiber-foods-cyber-event-ransomware-agriculture-food"",""wisfarmer.com/story/news/2021/10/26/schreiber-foods-hit-cyberattack-plants-closed/8558252002""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
252,Madix Inc,2021-11-?,USA,Discrete Mfg.,Ransomware,2,,"Shutdown production, sent employees home",Manufacture of store fixtures halted at both Goodwater and Eclectic plants,"[""newsbreak.com/news/2435633463049-""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
254,Diamond Comic Book Distributors,2021-11-07,USA,Transportation,Ransomware,1,,"Delayed retail shipments by 2-4 days, twice","Diamond is a top distributor for Marvel, Dark Horse, and Image comics. Scheduled orders were temporarily halted after a ransomware attack the prevented delivery.","[""icsstrive.com/incident/ransomware-attack-at-diamond-comic-distributors-disrupts-retailer-shipments""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
259,Estrella Damm Brewery,2021-11-08,Spain,Food & Beverage,Ransomware,2,,Shutdown production for 5 days at all breweries (impacted bottling),"Had this occurred in the summer, consequences would have been more severe as stocks only last 3 days","[""icsstrive.com/incident/barcelonas-damm-brewery-ransomware-attack""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
263,Nortura,2021-12-21,Norway,Food & Beverage,Ransomware,2,,Production halted at several sites for more than a week,"Shutdown meat processing plants after a ransomware attack, with one report of animals destined for slaughter being diverted to competitors","[""icsstrive.com/incident/norwegian-food-producer-hit-in-cyberattack"",""web.archive.org/web/20220701083242/norwaytoday.info/news/slaughter-pigs-sent-to-a-competitor-after-the-data-attack-on-nortura""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
269,Amedia,2021-12-28,Norway,Discrete Mfg.,Unknown,1,,Shutdown printing presses for 1.5 days,Norway's largest local news publisher was forced to shut down their presses after an unspecified cyber attack shut them down.,"[""icsstrive.com/incident/norway-media-company-amedia-hit-in-cyberattack""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
273,Bay & Bay Transportation,2022-01-01,USA,Transportation,Ransomware,1,,Lost 1.5 weeks of production,"Hit by Conti ransomware, and systems taken offline and remediated","[""freightwaves.com/news/minnesota-trucking-company-hit-in-2nd-ransomware-attack"",""icsstrive.com/incident/mn-trucking-and-logistics-company-hit-by-ransomware-attack-again""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
278,CPH Chemie & Papier Holding,2022-01-07,"Switzerland, Germany",Process Mfg.,Ransomware,1,,"6 days of downtime; lost 8,400 tons in paper output","Newsprint, packaging, and lightweight coated paper (LWC) producer in Perlen and Müllheim was forced into a controlled shutdown after a cyber attack","[""euwid-paper.com/news/markets/cph-to-restart-operations-in-perlen-and-muellheim-by-tomorrow"",""icsstrive.com/incident/hackers-paralyze-only-newsprinting-facility-in-switzerland""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
