id,victim,published_date,region,industry,threat_actor,sites,cost,ot_or_physical_consecuences,incident_summary,references,published_year,waterfall_report_year,waterfall_report_name
284,Kenyon Produce (KP) Snacks,2022-01-28,UK,Food & Beverage,Ransomware,1,,"Halted production, delayed deliveries for 2 months, & capped orders","Hit by Conti ransomware, the snack maker ""cannot safely process orders or dispatch goods."" Orders will be capped while existing stocks consumed","[""foodprocessing.com/industrynews/2022/hackers-cripple-kp-snacks"",""isssource.com/ransomware-attack-at-uk-snack-provider""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
287,Marquard & Bahls subsidiaries Mabanaft & Oiltanking,2022-01-29,Germany,Transportation,Ransomware,11,,"Declared force majeure, halted operations for 2 weeks","BlackCat (ALPHV) ransomware halted loading and unloading of fuel and bulk oil at port, and had a minor impact on automotive fuel distribution in Germany","[""bbc.com/news/technology-60215252"",""icsstrive.com/incident/german-oil-tank-farm-shut-down""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
290,SEA-Tank & SEA-Invest Group,2022-01-30,"Belgium, Africa",Transportation,Ransomware,24,,Halted operations at all European and African ports,Every SEA-Tank or SEA-Invest port terminal in Europe and Africa could not unload fuel due to a reported BlackCat (ALPHV) ransomware attack,"[""isssource.com/oil-terminals-in-europe-suffer-cyberattack"",""icsstrive.com/incident/oil-terminals-in-europe-suffer-cyberattack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
293,Evos Group,2022-02-02,"Malta, Belgium, Netherlands",Transportation,Unknown,3,,"Delayed unloading fuel at 3 ports: Terneuzen, Ghent, and Birzebbuga",Cyber attack delayed loading and unloading of fuel and bulk oil at port for the storage logistics company. The Malta operation was just recently acquired from Oiltanking,"[""insurancejournal.com/news/international/2022/02/03/652169.htm"",""icsstrive.com/incident/malta-oil-terminal-run-by-evos-one-of-several-european-facilities-hit-by-a-cyberattack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
298,Swissport,2022-02-03,Switzerland,Transportation,Ransomware,1,,"Delayed 22 flights, cargo, and freight services for 20 min",BlackCat (ALPHV) ransomware attack forced Swissport to revert to manual ops and backup procedures,"[""icsstrive.com/incident/ransomware-attack-at-swiss-airport-services-firm"",""spiegel.de/netzwelt/web/swissport-hackerangriff-stoert-zeitweise-flugbetrieb-in-der-schweiz-a-44285ac8-ad73-42ea-b751-91559c2ff4c8""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
305,Jawaharlal Nehru Port Container Terminal (JNPCT),2022-02-21,India,Transportation,Ransomware,1,,Diverted incoming vessels and halted in-progress loading/unloading at port,"Management Information System (MIS) knocked out by ransomware at JNPCT, one of five marine facilities at the Nhava Sheva container gateway","[""theloadstar.com/ransomware-attack-hits-nhava-sheva-container-terminal"",""icsstrive.com/incident/ransomware-attack-cripples-indian-port-container-terminal-jncpt""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
309,Expeditors,2022-02-22,USA,Transportation,Ransomware,1,$60M,Shutdown operations for 3+ weeks,"Cannot ship freight or manage customs processing, thereby halting ops. The financial cost to restore systems and in lost business was significant","[""bleepingcomputer.com/news/security/expeditors-shuts-down-global-operations-after-likely-ransomware-attack"",""icsstrive.com/incident/expeditors-intl-hit-by-ransomware-attack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
314,Caledonian Modular,2022-02-24,UK,Discrete Mfg.,Ransomware,1,,Shutdown manufacturing ops.,Modular building manufacturer's lost production output due to the attack was a major factor in the company's March insolvency,"[""theconstructionindex.co.uk/news/view/jrl-buys-caledonian-modular-out-of-administration"",""icsstrive.com/incident/cyberattack-significantly-reduced-caledonian-modulars-operating-capability/""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
319,Bridgestone,2022-02-27,N. & S. America,Discrete Mfg.,Ransomware,23,,"10 days lost production, and workers sent home, at all 23 tire plants in the Americas","Lockbit ransomware prompted the shut down all plants in the western hemisphere, in an abundance of caution, and begin recovery","[""icsstrive.com/incident/tire-manufacturer-bridgestone-hit-in-ransomware-attack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
323,Belarus Railway,2022-02-28,Belarus,Transportation,Hacktivist,1,,"Halted trains in Minsk, Orsha, and Osipovichi","The Belarusian ""Cyber Partisans"" encrypt and disable routing and switching devices, stranding trains at station, to slow Russian troops transiting to the Ukrainian front","[""bqprime.com/amp/technology/belarus-hackers-allegedly-disrupted-trains-to-thwart-russia""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
327,"Kojima Industries, Toyota, Hino, & Daihatsu",2022-02-28,Japan,Discrete Mfg.,Ransomware,14,,"Shutdown all Japanese auto and truck plants for 1 day, and lost production of 10K units","When 3rd party supplier Kojima was hit by ransomware, Toyota chose to shut down all their Japanese plants in an abundance of caution","[""isssource.com/toyota-halts-production-after-cyberattack-on-supplier""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
330,Rosetti Energy,2022-02-28,Russia,Power,Hacktivist,2,,Deactivated all EV charging stations between Moscow and St. Petersberg,"Hacktivists remotely disable all electric vehicle charging stations along the M-11 motorway, and reprogram displays criticizing President Putin","[""icsstrive.com/incident/russian-electric-vehicle-chargers-hacked-on-m11-highway-as-political-protest""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
335,H.P. Hood Dairy LLC,2022-03-11,USA,Food & Beverage,Unknown,13,,"Shutdown production 1 week, disposed all dairy product, canceled orders & deliveries","Cyber attack prompted taking Hood's 13 plants offline in an abundance of caution, and could not receive materials to manufacture dairy products","[""boston.com/news/local-news/2022/03/18/most-hood-plants-up-and-running-after-cyber-event"",""icsstrive.com/incident/dairy-plant-operations-offline-no-milk-at-schools-in-new-england""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
340,ELTA (Hellenic Post),2022-03-20,Greece,Transportation,Ransomware,1,,"Disrupted postal services for 17 days, nationally","Unpatched vulnerability led to reverse shell & ransomware deployment, disrupting all mail, financial, and bill payment services processed through the Greek Post","[""therecord.media/greeces-national-postal-service-restoring-systems-after-ransomware-attack"",""icsstrive.com/incident/ransomware-attack-halts-public-postal-services-in-greece""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
345,TAVR Corporate Group,2022-03-24,Russia,Food & Beverage,Ransomware,1,,"Shutdown production and recorded a ""significant economic loss""","TAVR makes 50K tons of meat and sausage in Rostov-on-don, close to the Ukraine border. A rep assessed the event as “meticulously planned and significant sabotage”","[""icsstrive.com/incident/operational-impact-after-cyberattack-at-tavr-food-processing-group-in-russia""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
350,Bulgarian State Post Office,2022-04-16,Bulgaria,Transportation,Ransomware,1,,"2+ week outage of 26 national postal services, including deliveries","Russian-originated ransomware attack to the Bulgarian Post, where attackers moved laterally into all IT and OT systems affecting all 26 offered services","[""euractiv.com/section/politics/short_news/russian-style-hackers-ruin-bulgarian-post-office"",""icsstrive.com/incident/complete-state-postal-system-outage-in-bulgaria""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
354,Costa Rican Customs Service,2022-04-17,Costa Rica,Transportation,Ransomware,1,,"Slowed shipments for > 1 month, and shutdown Customs' systems","Small part of a massive Conti and Hive ransomware attack on Costa Rica's government, and container freight shipments to slow to a trickle at the port of Limón","[""fas.usda.gov/data/costa-rica-costa-rica-customs-delays-affect-imports"",""icsstrive.com/incident/costa-rica-declares-national-emergency-in-response-to-ransomware-attack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
359,Sunwing Airlines,2022-04-18,Canada,Transportation,Unknown,1,,"Shutdown check-in systems, delay or cancel 188 flights","Discount holiday carrier's passengers stranded during the busy Easter long weekend, where “a system that is running all the time, which never fails, was hacked""","[""infosecurity-magazine.com/news/cyberattackers-hit-sunwing-airlines"",""icsstrive.com/incident/check-in-systems-offline-for-days-at-sunwing-airlines""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
363,AGCO,2022-05-05,USA & Europe,Discrete Mfg.,Ransomware,1,,"Shutdown majority of production in for 15+ days, and sent workers home","Attack on major tractor and equipment manufacturer occurs at the start of planting season, during peak global demand for new equipment and parts from dealers","[""theregister.com/2022/05/09/farm_machinery_giant_agco_hit"",""icsstrive.com/incident/ransomware-attack-at-agco""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
367,SpiceJet,2022-05-25,India,Transportation,Ransomware,1,,Grounded or delayed planes for 5+ hours,"""Attempted ransomware"" attack on SpiceJet caused major delays for air travellers, causing a cascading effect on future flight schedules","[""icsstrive.com/incident/spicejets-low-cost-airline-in-india-systems-and-operations-impacted-by-ransomware-attack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
372,Foxconn Baja California,2022-05-31,Mexico,Discrete Mfg.,Ransomware,1,,"Disrupted production for 2 weeks, & forced production capacity adjustment","Lockbit gang ransomed the plant in Tijuana, which supplies most of California's brand-labeled consumer electronics. 2nd time in 2 years this plant was hit by ransomware","[""therecord.media/foxconn-mexico-factory-operations-gradually-returning-to-normal-after-ransomware-attack"",""isssource.com/foxconn-recovering-from-ransomware-attack-again""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
377,CMC Electronics,2022-05-31,Canada,Discrete Mfg.,Ransomware,1,,Disrupted and delayed ops.,"BlackCat (ALPHV) ransomware encrypted systems and ""disrupted operations"" to a key supplier of avionics of Canada's Department of National Defense","[""itworldcanada.com/article/canadian-military-provider-suffered-ransom-attack-says-news-report/487654"",""icsstrive.com/incident/alphv-ransomware-gang-attacks-canadian-defense-contractor""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
382,Yodel,2022-06-22,UK,Transportation,Unknown,1,,Delayed parcel delivery for millions of customers,"Suspected but unconfirmed ransomware attack shuts down critical operations, including delivery tracking, for millions awaiting home delivery of goods and services","[""bleepingcomputer.com/news/security/yodel-parcel-company-confirms-cyberattack-is-disrupting-delivery"",""icsstrive.com/incident/millions-of-yodel-customers-in-uk-face-parcel-delivery-delays""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
387,Apetito (parent of Wiltshire Food Farms),2022-06-25,UK,Food & Beverage,Ransomware,1,,"5-day halt to food deliveries, and rebuilt systems","Hive ransomware hits Meals-on-wheels serving institutions and the vulnerable. Apetito reverted to manual procedures, and a complete system rebuild to restore ops","[""icsstrive.com/incident/apetitos-security-systems-breached-in-sophisticated-cyberattack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
392,Macmillan Publishers,2022-06-25,"UK, USA",Discrete Mfg.,Ransomware,2,,Halted orders & shipments; backlogged regional warehouses for months,"Ransomware attack on a major publisher closed offices in NYC and London, disrupting order processing, and causing months of delivery backlogs at regional warehouses","[""icsstrive.com/incident/cyberattack-forces-macmillan-publishers-to-take-operations-offline-and-close-physical-offices""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
396,"Khuzestan Steel (KSC), Mobarakeh Steel (MSC), & Hormozgan Steel (HOSCO)",2022-06-27,Iran,Metals & Mining,Hacktivist,1,,Damaged equipment and halted production at the KSC plant.,Predatory Sparrow group claimed responsibility set the KSC plant on fire and posted CCTV of the incident on twitter. Any potential damages to MSC and HOSCO remain unconfirmed,"[""timesofisrael.com/large-cyberattack-on-iranian-industrial-sector-targets-three-steel-plants"",""icsstrive.com/incident/khuzestan-steel-hit-in-cyber-attack-production-halts""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
400,Knauf,2022-06-29,UK,Process Mfg.,Ransomware,2,,Shutdown production for 3+ weeks; Delayed existing and canceled all new orders,"After a BlackBasta ransomware attack, Knauf pre- emptively shut down to facilitate recovery and forensics, and operated both plants manually","[""techmonitor.ai/technology/cybersecurity/knauf-cyberattack-blackbasta-ransomware"",""icsstrive.com/incident/largest-building-material-producer-attacked-by-black-basta""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
404,Eglo,2022-07-18,Austria,Discrete Mfg.,Ransomware,1,,"Shutdown production, order processing and shipping for 12 days","Lighting manufacturer's CEO confirmed the ransomware attack, but noted that no ransom note had been received by the time they begun recovery","[""diepresse.com/6167688/tiroler-leuchtenhersteller-eglo-von-cyber-angriff-getroffen"",""icsstrive.com/incident/hackers-paralyzed-computer-system-at-austrian-light-manufacturer-eglo""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
409,Semikron-Danfoss,2022-07-29,Germany,Discrete Mfg.,Ransomware,8,,Shutdown production for months,"A power-electronics semiconductor maker for ICS, EVs and wind turbines suffered a LV ransomware attack, and was not fully restored months after the incident","[""bleepingcomputer.com/news/security/semiconductor-manufacturer-semikron-hit-by-lv-ransomware-attack"",""icsstrive.com/incident/semikron-holding-production-after-cyber-attack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
414,Ontario Cannabis Retail Corporation (OCS),2022-08-05,Canada,Transportation,Unknown,1,,Halted delivery & distribution province-wide for 5 days,"Through the OCS crown corporation, the provincial government of Ontario controls and regulates the supply of cannabis to all retail stores","[""cbc.ca/news/canada/toronto/ontario-cannabis-store-1.6549657"",""icsstrive.com/incident/us-supply-chain-cyberattack-affects-ontario-cannabis-retail-corporation-ocs-deliveries""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
420,Bombardier Recreational Products (BRP),2022-08-08,"Austria, Canada, Finland, USA",Discrete Mfg.,Ransomware,4,,Shutdown production and halted order fulfillment for 1 week,RansomExx gang published all files (30 GB) exfiltrated from BRP after they refused to pay the ransom. The malware infection was traced to a service provider.,"[""bleepingcomputer.com/news/security/ransomexx-claims-ransomware-attack-on-sea-doo-ski-doo-maker"",""icsstrive.com/incident/brp-suspends-operations-following-ransomware-attack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
425,Apex Capital / TCS Fuel,2022-08-13,USA,Transportation,Ransomware,1,,Shutdown ops. for 1 week,"BlackByte ransomware on TCS Fuel impacted small- business truckers, who were unable to fuel their trucks or access funds to pay their owner-operators","[""icsstrive.com/incident/system-outage-at-apex-capital-affects-medium-and-small-size-trucking-companies""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
430,Novosibirsk City Transport Traffic Management System,2022-09-02,Russia,Transportation,Hacktivist,1,,Shutdown and disrupted public transportation for 2+ days,"Pro-Ukrainian activists Team OneFist causes traffic chaos, by halting and damaging the public transit scheduling system and signage, so as to prevent quick recovery","[""ibtimes.com/russians-novosibirsk-forced-pound-pavements-team-onefist-paralyzes-traffic-exclusive-3611628"",""icsstrive.com/incident/novosibirsk-transportation-system-attacked-by-pro-ukranian-hacker-group""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
436,Yandex Taxi,2022-09-03,Russia,Transportation,Hacktivist,1,,Disrupted Moscow traffic for 3+ hours,"Hacktivists caused traffic chaos, in an attack that simultaneously dispatched all Yandex's Taxi cars to the same location, resulting in a massive traffic jam","[""icsstrive.com/incident/chaos-in-moscow-traffic-caused-by-yandex-taxis-software-hack"",""theverge.com/2022/9/3/23335694/hackers-traffic-jam-russia-moscow-ride-hailing-app-yandex-taxi""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
441,Läderach,2022-09-05,Switzerland,Food & Beverage,Ransomware,1,,"Halted production, logistics and administration for 67 days","A ransomware attack on the chocolate maker causes a long-term outage, and impacts logistics. After Läderach refuses to pay the ransom, all data is leaked","[""icsstrive.com/incident/operations-impacted-at-swiss-chocolate-manufacturer-laderach""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
445,Electricity Company of Ghana (ECG),2022-09-26,Ghana,Power,Ransomware,1,,5+ days of power outages for pre- paid customers,"A ransomware attack disables ECG's billing system and the IT network, leaving commercial and residential customers in the dark and unable to purchase power","[""icsstrive.com/incident/ransomware-attack-at-electric-company-of-ghana-left-customers-without-power-for-days""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
450,HiPP,2022-10-05,Germany,Food & Beverage,Unknown,1,,"Production shutdown for days, and 1000 employees sent home","Pfaffenhofen, Bavaria based baby food manufacturer, which sells worldwide, was hit by an attack which shutdown both IT and OT systems","[""csoonline.com/de/a/hipp-gehackt,3674208"",""icsstrive.com/incident/ot-systems-impacted-by-cyberattack-at-hipp-a-german-baby-food-manufacturer""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
455,Heilbronner Stimme & Stimme Mediengruppe,2022-10-14,Germany,Discrete Mfg.,Ransomware,1,,Shutdown operations and sent employees home; impacted regional partners,"Printing presses halted after a ransomware attack, stopping distribution of the Heilbronner Stimme and other regional publications printed under contract","[""bleepingcomputer.com/news/security/ransomware-attack-halts-circulation-of-some-german-newspapers"",""icsstrive.com/incident/ransomware-attack-cripples-printing-systems-at-german-newspaper""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
460,Aurubis AG,2022-10-28,"Germany, USA",Metals & Mining,Unknown,1,,"Production and delivery halted, and employees sent home, in Buffalo, NY","Europe's largest copper smelter admitted to isolating from the internet, and operating manually, but local news in Buffalo reported their copper wire plant was shutdown","[""hackread.com/copper-producer-aurubis-cyberattack"",""icsstrive.com/incident/worlds-largest-copper-smelter-largely-maintains-operations-after-cyberattack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
465,Danish Rails (DSB) / Supeo,2022-10-29,Denmark,Transportation,Ransomware,1,,Shutdown train service for several hours,"Denmark's largest rail operator halted due to cyber attack on 3rd party Supeo who were unable to offer their critical, real-time safety data to train drivers","[""isssource.com/trains-halted-in-denmark-after-cyberattack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
468,Cartonnerie Gondardennes,2022-10-31,France,Process Mfg.,Ransomware,1,,"Shutdown production for 3 days, and workers sent home",This cardboard maker avoided paying a ransom as systems were decrypted by a local journalist and cyber expert Damien Bancal,"[""lavoixdunord.fr/1250765/article/2022-11-07/le-piratage-cartonnerie-gondardennes-decrypte-par-damien-bancal-journaliste"",""icsstrive.com/incident/hackers-shut-down-production-at-cartonnerie-gondardennes-in-france""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
474,"Jeppesen, a Boeing subsidiary",2022-11-02,Global,Transportation,Ransomware,1,,Delayed flights at multiple airlines & impacted flight planning for 14 days,"Ransomware shutdown 6 Electronic Flight Bag (EFB) apps & services provided by Jeppesen, increasing pilot's workloads in flight planning and navigation","[""icsstrive.com/incident/cyberattack-attack-at-boeing-subsidiary-causes-widespread-flight-disruptions"",""ops.group/blog/jeppesen-ransomware-attack-update""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
479,Uponor Oyj,2022-11-05,Finland,Discrete Mfg.,Ransomware,1,,"Shutdown production for 1 week, then reduced capacity for 2+ weeks","The manufacturer of HVAC, plumbing, and infrastructure products shutdown all OT systems as a precaution, and restoration took weeks","[""icsstrive.com/incident/operational-shutdown-at-uponor-intelligent-plumbing-climate-solutions""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
484,PGT Innovations,2022-11-05,USA,Discrete Mfg.,Ransomware,2,$12M,"Impacted production at 2 plants, and contributed to a $12m loss","A ransomware attack impacted 2 window and door manufacturing plants in Florida, and contributed to $12m quarterly revenue loss","[""icsstrive.com/incident/ransomware-attack-at-window-and-door-manufacturer-pgt-innovations""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
489,Maple Leaf Foods,2022-11-06,Canada,Food & Beverage,Ransomware,1,,Disrupted operations and services at multiple sites,"BlackBasta lists Maple Leaf as one of its victims on the dark web, but Maple Leaf releases little else about the attack other than the impact to ops","[""just-food.com/news/canadas-maple-leaf-foods-hit-by-cyberattack"",""icsstrive.com/incident/system-outage-at-maple-leaf-food-manufacturer-in-canada""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
493,Taxis Coop Québec,2022-11-17,Canada,Transportation,Ransomware,1,,Shutdown taxi dispatch system for 2.5 hours in the early morning,"Ransomware breached Taxi Coop Quebec's ride hailing back-end systems, so staff pre-emptively shut down all servers and began recovery","[""ici.radio-canada.ca/nouvelle/1933690/taxi-coop-quebec-cyberattaque-informatique"",""icsstrive.com/incident/taxi-ride-hailing-service-in-quebec-hacked""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
498,Europea Microfusioni Aerospaziali (EMA),2022-11-17,Italy,Discrete Mfg.,Ransomware,1,,"Shutdown production line for 6+ days, and sent employees home","EMA, a precision investment casting leader, was hit by ransomware production lines were shutdown. 40 techs and specialists were sent in to assist","[""icsstrive.com/incident/cyberattack-shuts-down-operations-at-precision-casting-foundry-europea-microfusioni-aerospaziali""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
504,Communauto,2022-11-21,Canada,Transportation,Unknown,1,,Shutdown ride-sharing operations & services for 1 day,"A cyber attack prevented users from starting or ending a ride, during an existing industry shortage of vehicles, frustrating users struggling to reserve a car","[""icsstrive.com/incident/cyberattack-hits-communauto-operations-already-struggling-with-frustrated-customers""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
510,"Prophete / VSF Fahrradmanufaktur, Rabeneick and Kreidler",2022-11-25,Germany,Discrete Mfg.,Ransomware,1,,Shutdown operations for 3+ weeks and lead to insolvency,"Ransomware attack meant that parts did not arrive, and bicycles were not fully assembled and delivered. Additional shareholder injections could not be secured triggering bankruptcy","[""icsstrive.com/incident/downtime-caused-by-cyberattack-final-straw-for-german-bicycle-manufacturer""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
515,Cobolux,2022-11-25,Luxembourg,Food & Beverage,Ransomware,1,€400K,1 day production loss; Estimated €400K - €500K in damages and restoration costs,"Ransomware attack made it impossible to continue operating, because meat products could not be labeled, a regulated and food safety requirement","[""icsstrive.com/incident/production-halted-at-meat-processing-factory-in-luxembourg""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
519,UNOX,2022-12-10,Italy,Discrete Mfg.,Unknown,1,,Shutdown production for 2 days,"Hit by a cyber attack, the company activated emergency procedures, suspended production as a safety measure, and initiated ""appropriate checks""","[""icsstrive.com/incident/italian-oven-manufacturer-suspends-production-after-cyberattack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
523,Fruttagel,2022-12-11,Italy,Food & Beverage,Ransomware,1,,Shutdown production for 4+ days,A BlackCat (ALPHV) ransomware attack on Fruttagel halted production and prevented customer deliveries. Ransom goes unpaid so Blackcat leaked all 720GB of exfiltrated data,"[""icsstrive.com/incident/production-outage-after-massive-ransomware-attack-at-italian-fruttagel""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
527,Empresas Públicas de Medellín (EPM),2022-12-13,Colombia,Water,Ransomware,1,,Trucked in water for 28k customers on pre-paid service plans,"A BlackCat (ALPHV) ransomware attack shut off water for 28K customers unable to pre-pay for service, due to an OT dependence on IT and billing systems","[""isssource.com/ransomware-attack-at-colombian-utility""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
531,"Technolit GmbH, in Grossenlüder",2022-12-22,Germany,Discrete Mfg.,Unknown,1,,Shutdown operations and sent employees home,A German manufacturer and distributor of welding supplies and products was shutdown by an unknown cyber attack,"[""icsstrive.com/incident/cyberattack-at-technolit-gmbh-employees-sent-home""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
535,Copper Mountain Mining Corporation (CMCC),2022-12-27,Canada,Metals & Mining,Ransomware,1,,"Shutdown operations for 5 days (pre-emptive), then reduced production for 4 days","CMCC shutdown mining ops out of an abundance of caution, after an attack possibly enabled by passwords leaked on the dark web weeks earlier","[""isssource.com/copper-miner-hit-in-ransomware-attack""]",2022,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
538,Beneteau SA,2021-02-18,France,Discrete Mfg.,Ransomware,2,,Shutdown for 3-4 weeks at several plants,"Boat manufacturer hit by ransomware, impacting OT. Production shutdown or delayed at ""several sites"". Wiped out 2021 growth, according to CEO.","[""boatindustry.com/news/36934/beneteau-2021-growth-almost-""]",2021,2023,2023 Threat Report. ICSSTRIVE & Waterfall Security Solutions
